address,entity,sub_label,usdc_holdings_usd,source
GXbJWY8H5YwvhrRYZvSWUAcGMGjR7ygUkQNwZxefgzdm,Jump Trading,Jump Trading,2396584,nansen_usdc_fund
6v3snejEvRsTzeUZV2yKAcRgbxRz3iMJJgpeqJ1CxM6P,Jump Capital,Jump Capital,284972,nansen_usdc_fund
5pU7WKL47At6rHLM4CmFCSPRdT32J1LHSgPFhWGuXZqc,Jump Capital,Jump Capital,173520,nansen_usdc_fund
8G2eUJ9xvJnDabaH9fhm9qMFmudDkBD44gRzvD1naWZq,Hypersphere Ventures,Hypersphere Ventures,223542,nansen_usdc_fund
BYAaYnaHErFFAvUWntRqX9Nmj7Y86MNterkFfTK8RuuU,Framework Ventures,Framework Ventures,27903,nansen_usdc_fund
4ZGWPgjMNGHMrUJqyLFzEk92XDJwUFvyaAWbSm17ueHC,Moonrock Capital,Moonrock Capital,5361,nansen_usdc_fund
85yxmCcVH1Ek88ym9pVcSTv4Jcpqp57CcHDRJAagduCu,Kenetic Capital,Kenetic Capital,2154,nansen_usdc_fund
H5biaZ2G1xU6hBHVbgzaqN3KuRvdwXmWxhxh5YN8QPuZ,Borderless Capital,Borderless Capital,1437,nansen_usdc_fund
BM7Ydwau6f8yKfxsXDK3STUeLcGm6rfrE3sgJaPKAdr8,Borderless Capital,Borderless Capital Fund,631,nansen_usdc_fund
5sZKTZ6j5UgQqVvWa8VBvxYLtD43dW8VG7ZBuMjPQrBt,Sigil Fund,Sigil Fund,627651,nansen_jup_fund
EsqEkirkY6s1RPsb3YaJZcP4APQz77BWmBAVCsbNNhpj,Sigil Fund,Sigil Fund,223611,nansen_jup_fund
4DPxYoJ5DgjvXPUtZdT3CYUZ3EEbSPj4zMNEVFJTd1Ts,Sigil Fund,Sigil Fund,33,nansen_jup_fund
FGgSRDZ49jALiaBkmPxEqJ3e3zm3G8e15nuiwy6pF8iK,Defiance Capital,Defiance Capital,16565,nansen_jup_fund
39K7QEaZDix2XGTzUaYMwVGrQp2Kaoi2uTuDp2R3zCS7,LVT Capital,LVT Capital,27225,nansen_jup_fund
NTmngBUcT84deqwGLV6hBFCU8eoi1M593XJjTV85uN5,LVT Capital,LVT Capital,2868,nansen_jup_fund
DJwPBhtiPQXKjTY2RzH6DgJ2eqU3uBTfLuLXoUL9D4dK,LVT Capital,LVT Capital,561,nansen_jup_fund
FEeSRuEDk8ENZbpzXjn4uHPz3LQijbeKRzhqVr5zPSJ9,DevmonsGG,DevmonsGG,3708,nansen_jup_fund
5CmWF9DMrcCtpuw3g1rnx9zYLX39bNwEX7dSEeaKFPPf,Jump Capital,Jump Capital,16,nansen_jup_fund
69GA1mJCEqyYxj57CCeamy2WGx7wM3ABEwuUFMmatu2d,Jump Capital,Jump Capital,16,nansen_jup_fund
5sZKTZ6j5UgQqVvWa8VBvxYLtD43dW8VG7ZBuMjPQrBt,Sigil Fund,Sigil Fund (mSOL+jitoSOL),627651,nansen_expanded
EsqEkirkY6s1RPsb3YaJZcP4APQz77BWmBAVCsbNNhpj,Sigil Fund,Sigil Fund,223611,nansen_expanded
